Topic,Count,Name,Representation,Representative_Docs
0,305,0_hero_murderer_killer_justice,"['hero', 'murderer', 'killer', 'justice', 'killers', 'killed', 'murdering', 'kill', 'shooter', 'laden']","['Brian Thompson killed more people than his killer.', 'Brian Thompson killed more people than his killer so….', 'He murdered a mass murderer. Brian Thompson was responsible for the deaths of thousands.']"
1,249,1_brianthompson_ceos_sympathy_killed,"['brianthompson', 'ceos', 'sympathy', 'killed', 'assassinated', 'died', 'executives', 'healthcare', 'scandal', 'greed']","['UnitedHealthcare CEO’s HIDDEN SCANDAL Just Got EXPOSED \r\n via', 'UnitedHealthcare CEO’s HIDDEN SCANDAL Just Got EXPOSED  via', '""FOR PROFIT"" HEALTHCARE!!!! 🔥🔥🔥☠\r\n\r\nUnitedHealthcare CEO’s HIDDEN SCANDAL Just Got EXPOSED  via']"
2,222,2_murderer_killer_killed_died,"['murderer', 'killer', 'killed', 'died', 'deaths', 'acquitted', 'kill', 'justice', 'penny', 'case']","[""Rittenhouse isn't a POS but Luigi is a hero! He has a good chance of being acquitted since everyone knows someone who's been denied health insurance coverage and has suffered at the hands of insurance companies. Thompson was basically a killer of thousands annually. Good riddance"", ""Luigi is a hero for eliminating a vermin killer! He has a good chance of being acquitted since everyone knows someone who's been denied insurance and has suffered or died at the hands of insurance companies. Thompson was basically a killer of thousands. Good riddance. #FreeLuigi"", ""Luigi is a hero for eliminating this vermin killer! He has a good chance of being acquitted since everyone knows someone who's been denied health insurance coverage and has suffered at the hands of insurance companies. Thompson was basically a killer of thousands. Good riddance.""]"
3,202,3_medicareforall_healthcare_medicare_rich,"['medicareforall', 'healthcare', 'medicare', 'rich', 'care', 'insurance', 'profits', 'deaths', 'health', 'companies']","['How many people has Brian THOMPSON killed by denying them health coverage?', 'What about the human beings whose lives were ruined or ended because brian thompson’s company denied their health insurance claims so he can make millions? His life is worth more?', 'Imagine being someone Brian Thompson company denied life saving medical care knowing your family has to watch your slow death.']"
4,194,4_ceos_unitedhealth_healthcare_executive,"['ceos', 'unitedhealth', 'healthcare', 'executive', 'corporate', 'medical', 'insurance', 'health', 'patients', 'companies']","['Brian Thompson killer had the words  “deny,” “defend” “depose” on the shell casings that were left behind?\r\n\r\nObvious link to the 2010 book: Delay, Deny, Defend.\r\nWhy insurance companies don’t pay claims and what you can do about it.\r\n\r\nSo this must be vigilante justice. They refused…', 'ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially #UnitedHealthcare.', 'ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially United.']"
5,191,5_ceos_murderer_killer_assassin,"['ceos', 'murderer', 'killer', 'assassin', 'murdering', 'police', 'hero', 'corporate', 'fuck', 'killed']","['Innocent children are not the same as ceos that cause suffering and misery for thousands of people. While I think Luigi mangione absolutely needs to go to prison and face the consequences of his actions, he’s still a hero.', 'Mangione killed one person.*\r\n\r\nThompson killed thousands.\r\n\r\nAnd you want people to feel bad for Thompson?\r\n\r\nCEOs, just like Thompson, killed thousands of people every year and are never held accountable. \r\n\r\nMangione is being held accountable.\r\n\r\n1000 > 1', 'Murder is bad. Killing people is bad. Luigi Mangione is not a hero and should face justice for his actions.\r\n\r\nBrian Thompson was a terrible person who ran an evil company responsible for the deaths and suffering of many many people and deserves no sympathy whatsoever.']"
6,190,6_unitedhealth_unitedhealthcareassassin_healthcare_insurance,"['unitedhealth', 'unitedhealthcareassassin', 'healthcare', 'insurance', 'health', 'shot', 'ceos', 'killer', 'brianthompson', 'killed']","['The main difference being Luigi Mangione allegedly killed one person while the Insurance CEO killed thousands of people for profit. In our dystopian capitalist society killing people behind a desk with a pen is somehow ok as long as it enriches our corporate overlords. 🤬', 'Luigi Mangione’s Manifesto:\r\n\r\n“…I do apologize for any strife or traumas but it had to be done. Frankly, these parasites simply had it coming. A reminder: the US has the #1 most expensive healthcare system in the world, yet we rank roughly #42 in life expectancy. United is the…', ""Canadian Jury:\r\n'Americans pay money for healthcare and then they are denied healthcare.'\r\n\r\nWhat did Luigi Mangione say that was wrong?\r\n\r\n“These parasites had it coming … I do apologize for any strife and trauma, but it had to be done.”\r\n- Luigi Mangione ()""]"
7,189,7_sympathy_deaths_killed_mourn,"['sympathy', 'deaths', 'killed', 'mourn', 'deserved', 'news', 'said', 'death', 'fuck', 'poor']","['I’m sorry but I only have concepts of thoughts and prayers for Brian Thompson. Mourn the deaths of the thousands upon thousands of innocent people that Brian Thompson directly impacted. Fuck UHC and fuck denying claims for struggling Americans.', 'Just a reminder that Brian Thompson would have (and did) watch thousands of people die if it meant his company made more money. The lives of others meant nothing to him, why should we feel bad for the loss of his?\r\n\r\nThere is no sympathy left for the deaths of evil people.', ""I don't believe Brian Thompson deserved to be killed because of a bad experience my family had with an insurance company. I believe he deserved to be killed because he oversaw the mass murder of thousands of Americans.\r\n\r\nSome of us have empathy for people beyond our own families.""]"
8,184,8_corrupt_killed_claims_justice,"['corrupt', 'killed', 'claims', 'justice', 'murdering', 'company', 'poor', 'profit', 'kill', 'caused']","['Oh, yes, let’s absolutely keep that class connection with Luigi—because nothing says working-class hero like being a filthy rich white guy whose family got wealthy off exploiting the elderly in the healthcare system. Solidarity, am I right? 🙄', 'If Luigi got Kyle’s judge, he’d be walking free in no time… That little POS (Kyle) murdered folks with the overwhelming support of the right… he killed folks they all hated.\r\n\r\nThe other victim was a rich thief, of no redeeming value, whose kind the right loved.\r\n\r\nNo surprise', 'Um no. Kyle killed people while walking around just trying to hit anyone (you can clearly see in the video) Luigi killed a man that deserved to be killed. That man is the reason y grandfather is dead because according to united his cancer “was not a treatable issue”']"
9,179,9_ceos_murderer_killer_monster,"['ceos', 'murderer', 'killer', 'monster', 'corrupt', 'hero', 'deaths', 'killed', 'victims', 'died']","['We need another Luigi. If these ceos want to take their kids to work… I think we know where the aim should be.', 'The CEO killed this man\r\n\r\nThe CEO deserved to die in pain and suffering like the people he killed\r\n\r\nLuigi is a merciful martyr that put his life on the line for the sake of the American people, and killed his target humanely\r\n\r\nLuigi is a hero and you are a bootlicking dog.', 'Stop simping for the system & the CEOS who make tons of money from denying people care they need, ultimately leading to the deaths of tens of thousands of Americans. \r\n\r\nLuigi IS A HERO']"
