Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Date
"thoughts and prayers, am i doing this right #MAGA ?",23,23_unitedheathcare_victims_responsibility_condolences,"['unitedheathcare', 'victims', 'responsibility', 'condolences', 'tragedy', 'tragic', 'colleagues', 'illness', 'news', 'horrified']","['Prayers', 'RIP. Thoughts and prayers to his family.', 'Thoughts and prayers']",unitedheathcare - victims - responsibility - condolences - tragedy - tragic - colleagues - illness - news - horrified,False,12/9/2024 21:53
"He took on the corrupt healthcare system is what he did, and in this house, Luigi Mangione is an Italian American hero, end of story!",14,14_insurance_murderer_ceos_executive,"['insurance', 'murderer', 'ceos', 'executive', 'killed', 'murdering', 'health', 'dead', 'shareholders', 'life']","['he took action against private health insurance corporations is what he did. he was a brave italian martyr. in this house, luigi mangione is a hero, end of story!', 'He took action against greedy health insurance is what he did. He was a brave italian working class vigilante. And in this house, Luigi Mangione is a hero. End of story.', 'Murder victim,  Father of 2 no privilege grew up as son of working class grain operator, went to Iowa college worked way up to ceo position. His murderer, Luigi Mangioni is wealthy & privileged $40k per yr in 6-12th grade private school. Ivy league college degrees. no job $12k💼']",insurance - murderer - ceos - executive - killed - murdering - health - dead - shareholders - life,False,12/9/2024 21:32
Brian Thompson was from a small town in Iowa of 1200 people and graduated with a BS Biz & Accounting degree from the U of Iowa. He literally just worked his way up the corporate ladder. He lived in a mostly middle class suburb and his kids go to a public school.,20,20_bill_poor_socialists_based,"['bill', 'poor', 'socialists', 'based', 'companies', 'employees', 'evidence', 'payer', 'hospital', 'cause']","['Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator', 'This is who Luigi shot\r\n\r\n""Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really…', 'Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really proud when he graduated…']",bill - poor - socialists - based - companies - employees - evidence - payer - hospital - cause,False,12/9/2024 21:30
"10 children. 
Big donors to local community College",20,20_bill_poor_socialists_based,"['bill', 'poor', 'socialists', 'based', 'companies', 'employees', 'evidence', 'payer', 'hospital', 'cause']","['Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator', 'This is who Luigi shot\r\n\r\n""Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really…', 'Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really proud when he graduated…']",bill - poor - socialists - based - companies - employees - evidence - payer - hospital - cause,False,12/9/2024 21:25
Hopefully they find this killer in New York who he took down CEO UnitedHealthCare Brian Thompson last week and i hope they can find this killer now. prevail this now y'all.,11,11_killer_killed_fatally_assassin,"['killer', 'killed', 'fatally', 'assassin', 'unitedhealth', 'slain', 'brianthompson', 'unitedhealthcareceo', 'brianthompsonassassination', 'gunned']","['The leader of UnitedHealth Group wrote that the health insurance executive gunned down on a Manhattan sidewalk last week cared about consumers and was working to make the system better.', 'The leader of UnitedHealth Group conceded that the patchwork U.S. health system “does not work as well as it should,” but said Friday that the insurance executive gunned down on a Manhattan sidewalk cared about customers and was working to make it better.', 'The leader of UnitedHealth Group conceded that the patchwork U.S. health system “does not work as well as it should” but said Friday that the insurance executive gunned down on a Manhattan sidewalk cared about customers and was working to make it better.']",killer - killed - fatally - assassin - unitedhealth - slain - brianthompson - unitedhealthcareceo - brianthompsonassassination - gunned,False,12/9/2024 21:21
The UnitedHealthCare ceo 😭😭,2,2_brianthompson_innocent_sympathy_hero,"['brianthompson', 'innocent', 'sympathy', 'hero', 'pay', 'guy', 'deserved', 'uncle', 'ceos', 'alive']","['At what level do you get personal security as a CEO? Sure as hell would think the CEO of United Healthcare would have some level of security.\r\n\r\nSad & Graphic…RIP Brian Thompson\r\n#UnitedHealthcare #unitedhealthcareceo #BrianThompson', 'I don’t know which side this CEO was on, whether criminal or slave, but it still breaks my heart that a life was taken and people who loved him are hurting. Especially if there are innocent children involved!  Prayers for our broken world and the broken people in it.💔🙏🏼', 'Unhinged leftist says the UnitedHealthcare CEO was a billionaire who was responsible for the de*ths of millions so you shouldn’t feel bad for his family.\r\n\r\nSo now even innocent family members deserve to suffer?\r\n\r\nThis woman is deranged. Couldn’t tell by the glasses and nose ring.']",brianthompson - innocent - sympathy - hero - pay - guy - deserved - uncle - ceos - alive,False,12/9/2024 20:59
"UnitedHealth issued a statement after the arrest of a person of interest in murder of CEO Brian Thompson, saying, ""our hope"" is the arrest brings ""some relief to Brian's family, friends, colleagues and the many others affected by this unspeakable tragedy.""",1,1_unitedhealth_family_visionary_healthcare,"['unitedhealth', 'family', 'visionary', 'healthcare', 'health', 'company', 'leader', 'care', 'paulette', 'prayers']","['🚨 JUST IN: Surveillance Footage Shows UnitedHealthcare CEO Fatally Shot:  \r\n\r\nBrian Thompson was gunned down outside the Hilton Hotel in Midtown Manhattan. A truly tragic and heartbreaking incident. 🇺🇸 🙏🏾', '🚨WIFE OF SLAIN UNITEDHEALTHCARE CEO REVEALS HE RECEIVED THREATS BEFORE SHOOTING\r\n\r\nPaulette Thompson, wife of UnitedHealthcare CEO Brian Thompson, disclosed that her husband had been receiving threats before he was fatally shot outside a Midtown Manhattan hotel.\r\n\r\nIn her first…', 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.']",unitedhealth - family - visionary - healthcare - health - company - leader - care - paulette - prayers,False,12/9/2024 20:59
Luigi’s sister sending prayers for her brother on IG,4,4_god_praying_deserves_man,"['god', 'praying', 'deserves', 'man', 'hero', 'killed', 'daisy', 'life', 'baby', 'legend']","['Luigi is an elitist, spoiled, rich kid who shot a husband & father in the back who grew up poor on a farm in Iowa & worked hard for his position & improved insurance access for customers.\r\n\r\nRittenhouse shot people attacking him in an effort to do him bodily harm\r\n\r\nLIBERAL MORAL ROT', 'I get why the fools  love him, man vs The System, etc. I also feel sorry for Luigi, a nice kid who went nuts.\r\n\r\nBut the ghouls totally ignore his other victims: two fatherless little boys who are doing Christmas without their dad-their first of many awful Christmasses. When you…', 'Praise Jesus Our Lord, Praise Him! I will pray for you and for the family of the man murdered. God is Love the Word and the Truth. \r\n\r\nPoor Luigi & followers are sadly Lost as Luigi reminds the world that the Devil works here on earth. Peace.']",god - praying - deserves - man - hero - killed - daisy - life - baby - legend,False,12/9/2024 20:54
Brian Thompson was a fine father. When the dad moves out you can have Xbox at one house and PlayStation at the other. In my case it was snes and genesis,20,20_bill_poor_socialists_based,"['bill', 'poor', 'socialists', 'based', 'companies', 'employees', 'evidence', 'payer', 'hospital', 'cause']","['Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator', 'This is who Luigi shot\r\n\r\n""Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really…', 'Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really proud when he graduated…']",bill - poor - socialists - based - companies - employees - evidence - payer - hospital - cause,False,12/9/2024 20:54
"Luigi Mangione:

- Elite high school & college education (IQ undoubtedly high).

- Couldn’t crack it in America (skills issue).

- Takes anger at society out on the CEO Brian Thompson (a good man by all  accounts).

- This has everything to do with Luigi’s personal shortcomings.…",14,14_insurance_murderer_ceos_executive,"['insurance', 'murderer', 'ceos', 'executive', 'killed', 'murdering', 'health', 'dead', 'shareholders', 'life']","['he took action against private health insurance corporations is what he did. he was a brave italian martyr. in this house, luigi mangione is a hero, end of story!', 'He took action against greedy health insurance is what he did. He was a brave italian working class vigilante. And in this house, Luigi Mangione is a hero. End of story.', 'Murder victim,  Father of 2 no privilege grew up as son of working class grain operator, went to Iowa college worked way up to ceo position. His murderer, Luigi Mangioni is wealthy & privileged $40k per yr in 6-12th grade private school. Ivy league college degrees. no job $12k💼']",insurance - murderer - ceos - executive - killed - murdering - health - dead - shareholders - life,False,12/9/2024 20:52
