Topic,Count,Name,Representation,Representative_Docs
0,101,0_killer_murders_murderer_hope,"['killer', 'murders', 'murderer', 'hope', 'family', 'died', 'children', 'thousands', 'guy', 'victim']","['Brian Thompson didn’t murder anyone. No one at his company has murdered anyone. People have died under their rules and regulations, & yes, there should be a discussion about that. But that is not now, & to say you’re “joyful” or in any way happy his death happened is disgusting.', 'Disturbing!  How does this make anyone feel “joyful”?\r\n\r\nTaylor Lorenz is laughing over Brian Thompson’s death and says it brings her joy.  Piers is having no part of it! Disgusting that anyone would feel this way!', 'There is absolutely no justification for anyone to feel JOY over the assassination of Brian Thompson. Taylor Lorenz should be ashamed of herself. She really needs a good rest to think about why she felt that feeling about someone who died, or to celebrate the assassination! ###']"
1,66,1_unitedhealth_family_visionary_healthcare,"['unitedhealth', 'family', 'visionary', 'healthcare', 'health', 'company', 'leader', 'care', 'paulette', 'prayers']","['🚨 JUST IN: Surveillance Footage Shows UnitedHealthcare CEO Fatally Shot:  \r\n\r\nBrian Thompson was gunned down outside the Hilton Hotel in Midtown Manhattan. A truly tragic and heartbreaking incident. 🇺🇸 🙏🏾', '🚨WIFE OF SLAIN UNITEDHEALTHCARE CEO REVEALS HE RECEIVED THREATS BEFORE SHOOTING\r\n\r\nPaulette Thompson, wife of UnitedHealthcare CEO Brian Thompson, disclosed that her husband had been receiving threats before he was fatally shot outside a Midtown Manhattan hotel.\r\n\r\nIn her first…', 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.']"
2,62,2_brianthompson_innocent_sympathy_hero,"['brianthompson', 'innocent', 'sympathy', 'hero', 'pay', 'guy', 'deserved', 'uncle', 'ceos', 'alive']","['At what level do you get personal security as a CEO? Sure as hell would think the CEO of United Healthcare would have some level of security.\r\n\r\nSad & Graphic…RIP Brian Thompson\r\n#UnitedHealthcare #unitedhealthcareceo #BrianThompson', 'I don’t know which side this CEO was on, whether criminal or slave, but it still breaks my heart that a life was taken and people who loved him are hurting. Especially if there are innocent children involved!  Prayers for our broken world and the broken people in it.💔🙏🏼', 'Unhinged leftist says the UnitedHealthcare CEO was a billionaire who was responsible for the de*ths of millions so you shouldn’t feel bad for his family.\r\n\r\nSo now even innocent family members deserve to suffer?\r\n\r\nThis woman is deranged. Couldn’t tell by the glasses and nose ring.']"
3,55,3_brianthompson_tragic_john_andrew,"['brianthompson', 'tragic', 'john', 'andrew', 'slain', 'mr', 'chief', 'leader', 'role', 'care']","['🚨🇺🇸 NEW UHC CEO PRAISES MURDERED CEO AS A “HEALTHCARE LEGEND”\r\n\r\nIn a leaked pep talk to staff, UnitedHealth Group CEO Andrew Witty praised slain CEO Brian Thompson as a titan of healthcare, claiming he had one of the “biggest effects” on the industry—despite ongoing accusations…', 'UnitedHealth chief admits US health system ‘does not work as well as it should’  \r\nIn a New York Times essay, Andrew Witty also says slain healthcare CEO Brian Thompson cared about customers\r\n\r\nThe leader of the parent company of Unit…', ""UnitedHealth Group $UNH is navigating challenges following the tragic loss of UnitedHealthcare CEO Brian Thompson. CEO Andrew Witty acknowledges the healthcare system's flaws and emphasizes the company's commitment to improvements.""]"
4,53,4_god_praying_deserves_man,"['god', 'praying', 'deserves', 'man', 'hero', 'killed', 'daisy', 'life', 'baby', 'legend']","['Luigi is an elitist, spoiled, rich kid who shot a husband & father in the back who grew up poor on a farm in Iowa & worked hard for his position & improved insurance access for customers.\r\n\r\nRittenhouse shot people attacking him in an effort to do him bodily harm\r\n\r\nLIBERAL MORAL ROT', 'I get why the fools  love him, man vs The System, etc. I also feel sorry for Luigi, a nice kid who went nuts.\r\n\r\nBut the ghouls totally ignore his other victims: two fatherless little boys who are doing Christmas without their dad-their first of many awful Christmasses. When you…', 'Praise Jesus Our Lord, Praise Him! I will pray for you and for the family of the man murdered. God is Love the Word and the Truth. \r\n\r\nPoor Luigi & followers are sadly Lost as Luigi reminds the world that the Devil works here on earth. Peace.']"
5,53,5_died_killed_murderous_heroic,"['died', 'killed', 'murderous', 'heroic', 'nick', 'death', 'guy', 'rampage', 'poor', 'victim']","['This! ⬇️. Ironic Luigi grew up affluent, Ivy League educ., while Brian (the victim, since no one says it - his name was “BRIAN THOMPSON”, and HE WAS A HUMAN BEING and LOVED!!) grew up working class, went to a state university and got a Business Admin. degree (both like me).', 'Dude is from a wealthy family and went to an ivy league school. The person he killed rose up the ranks from a small town and worked through college. Fuck everything about Luigi and his fake plight.', 'Rittenhouse shot in self defense those attacking him. Penny saved people from a violent man who died of medical issues & drugs & was alive when police arrived\r\n\r\nLuigi is a spoiled rich kid who shot a father & husband in the back who grew up poor on a farm & improved insurance care']"
6,52,6_andrew_died_unitedhealth_news,"['andrew', 'died', 'unitedhealth', 'news', 'hawkeye', 'rest', 'leader', 'support', 'condolences', 'hope']","['In response to the incident, UnitedHealthcare issued a statement. The company wrote, “We are deeply saddened and shocked at the passing of our dear friend and colleague Brian Thompson, the CEO of UnitedHealthcare. Brian was a highly respected colleague and friend to all who…', 'UnitedHealth Group CEO Andrew Witty has issued an emotional tribute to Brian Thompson, the head of the group’s insurance arm, UnitedHealthcare, following Thompson’s death at the hands of a gunman.', 'The full statement from UnitedHealth Group regarding their colleague Brian Thompson:\r\n\r\nUnitedHealth Group Statement on Our Friend and Colleague Brian Thompson \r\nDecember 05, 2024\r\n\r\nUnitedHealth Group today issued the following statement:\r\n\r\n""While our hearts are broken, we have been…']"
7,49,7_shooter_alive_experts_cliffe,"['shooter', 'alive', 'experts', 'cliffe', 'hero', 'aka', 'podz', 'fuck', 'hunter', 'fate']","['Congratulations to the latest winners of our dog and bitch of the month awards 👏\r\n\r\nMahogany Swift, trained by Brian Thompson, and Aero Dignity, trained by , are the latest to grab the gongs - well done to all connections 😊', 'And this weeks ""Flying Fickle Finger of Fate"" award goes to...you guessed it, Brian Thompson! Let\'s have a big hand for Brian, folks!', 'For the second week in a row. This weeks ""Flying Fickle Finger of Fate"" award goes to...you guessed it, Brian Thompson! Let\'s have a big round of applause for Brian, folks! Gone...yes, but not forgotten!']"
8,48,8_condolences_killer_assassin_news,"['condolences', 'killer', 'assassin', 'news', 'shot', 'bullet', 'bullets', 'incident', 'god', 'colleagues']","['JUSTICE FOR BRIAN. THE PEOPLE NEED TO RALLY FOR WHAT IS GOOD. NOT WHAT IS BAD.\r\n\r\nBRIAN THOMPSON WAS SHOT AND MURDERED IN COLD BLOOD. HIS FAMILY WANT JUSTICE.', 'Someone killed $Brian Thompson \r\n\r\nBrian has a family and two innocent children 🧒 so he deserves justice..\r\nJustice for #BrianThompson \r\n\r\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'Justice for Brian Thompson.']"
9,45,9_healthcare_insurer_obamacare_insurance,"['healthcare', 'insurer', 'obamacare', 'insurance', 'medical', 'medicare', 'health', 'condolences', 'companies', 'die']","['I agree. The US health insurance industry needs people just like Brian Thompson. Just as he is right now.', 'The killing of Brian Thompson is a great tragedy, and I send condolences to his loved ones, co-workers, and friends.\r\n\r\nThe social media posts have revealed a widespread antipathy to the health insurance industry.\r\n\r\nPeople are frustrated with health insurance for the following…', ""Whatever you may think of Mr. Brian Thompson, his company, or the health insurance industry in general, I'm sure decent people can agree that this act is heinous, and Mr. Thompson & his associates, friends & family don't deserve this.\r\n\r\nCondolences 🙏 to Mr. Thompson's family.""]"
10,44,10_grieving_condolences_whistleblower_brianthompsom,"['grieving', 'condolences', 'whistleblower', 'brianthompsom', 'died', 'mourn', 'everyone', 'death', 'sad', 'devastating']","[""Brian Thompson and his family live in the next town over from me. His wife and two boys are going to sleep tonight after enduring the worst day of their lives. They'll never have a normal holiday season ever again. Millions of people watched their husband & dad get killed.\r\n\r\nShit…"", 'A day that shall live in infamy: December 4, 2024: Brian Thompson rendered deceased:   The greatest love: John 15:13. Holding Genesis 9:6 accountable. God’s armies intended: second amendment:\r\nDavid’s/Goliath.', ""This is ghastly. Seek Jesus, repent. 1 second here, next second crossing over. Where would you land if your time was up today?\r\nJesus Christ is my Lord and Savior!\r\nGodspeed Brian Thompson. May God's grace surround his family.""]"
