Topic,Count,Name,Representation,Representative_Docs
0,96,0_killer_assassin_brianthompson_sympathy,"['killer', 'assassin', 'brianthompson', 'sympathy', 'millionaires', 'ceos', 'kill', 'ceoâ', 'guy', 'executive']","['Companies hiding their CEOs now instead of putting them front & center to remind customers/investors that â€œpeople matter more than profitsâ€\x9d shows us all we need to know about that companyâ€™s true business plan. #brianthompson #UnitedHealthcare #insurance #usa #corruption #news', 'CEO of one of the biggest healthcare insurance companies in the US, gets thr*ats on his life.\n\nNo one on the company board of directors says ""Let\'s hire security detail to protect him.""\n\nTells you all you need to know about #UnitedHealthcare\n\nThey don\'t ""care"" about him or you!', 'UnitedHealthCare CEO was killed and Oligarchs are crying about it. Multitudes of people are dying due to being denied Health Insurance meanwhile Oligarchs are crying about one Health Insurance CEO dying. \n\nOligarchs kill us by denying and delaying Health Insurance but areâ€¦']"
1,85,1_executive_insider_infamous_tragic,"['executive', 'insider', 'infamous', 'tragic', 'chief', 'died', 'unitedhealth', 'profits', 'unitedhealthcareâ', 'companiesðÿ']","[""Hmmm! ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡\nThis might explain what happened to CEO Brian Thompson! \nThompson denied 90% of people's claims!! ðŸ™„ðŸ™„ðŸ™„ðŸ™„ ðŸ’¢ðŸ’¢ðŸ’¢ðŸ’¢ðŸ’¢ðŸ’¢ðŸ’¥ðŸ’¥ðŸ’¥ðŸ’¥ðŸ’¥ðŸ’¥"", 'ABC: â€œNYPD finds â€˜denyâ€™ â€˜defendâ€™ â€˜deposeâ€™ on shell casings where United Health CEO Brian Thompson was murderedâ€\x9d â€” seems to reference how insurance companiesðŸ‘‡ðŸ\x8f½deny people treatment. Especially #UnitedHealthcare.', 'ABC: â€œNYPD finds â€˜denyâ€™ â€˜defendâ€™ â€˜deposeâ€™ on shell casings where United Health CEO Brian Thompson was murderedâ€\x9d â€” seems to reference how insurance companiesðŸ‘‡ðŸ\x8f½deny people treatment. Especially United.']"
2,81,2_healthcare_medical_executives_health,"['healthcare', 'medical', 'executives', 'health', 'insurance', 'medicareforall', 'medicare', 'medicaid', 'patients', 'deaths']","[""Brian Thompson got rich at the helm of the company that denied more healthcare claims than most other major insurance providers, at a denial rate twice the industry average.\nI am not surprised that stuff like this happens. If anything, I'm surprised it doesn't happen more often."", 'The biggest problem is for-profit health insurance and claim deniers like Brian Thompson who are killing thousands every year. You care about Thompson but not about those he killed.', 'You\'re insinuating the murder of Brian Thompson in NYC was justified? \n""Health insurance companies are responsible for the deaths of hundreds of thousands of Americans each each year and when denying claims and coverage for people who canâ€™t always afford health insurance costs.""']"
3,80,3_ceos_luigiâ_ceoâ_killed,"['ceos', 'luigiâ', 'ceoâ', 'killed', 'sympathy', 'corporate', 'overlords', 'died', 'hero', 'kills']","['Iâ€™m not saying murder is good. Itâ€™s not, but compare Luigiâ€™s killing (allegedly) to a CEO who makes all the decisions and left hundreds of thousands, if not millions, to die for profit, you understand why people see an eye for an eye on this kind of thing', 'yeah big bad ceo was not a good person n denied insurance claims for profit but chances are new ceo will be j as bad or worse? the solution is to reform the system not violence. imagine stanning someone who killed a man w two sons thats crazy to me. plus luigi is mid as hell imo.', ""Absolutely i said to my friends that its a pretty obvious anger response to how terrible the for profit healthcare system is and that if daniel penny can go free Luigi should go free and they freaked the fuck out I didn't even say my real position that the assassination is good""]"
4,79,4_murderer_killed_rich_killer,"['murderer', 'killed', 'rich', 'killer', 'kill', 'corruption', 'profit', 'wealth', 'death', 'case']","[""Rittenhouse isn't a POS but Luigi is a hero! He has a good chance of being acquitted since everyone knows someone who's been denied health insurance coverage and has suffered at the hands of insurance companies. Thompson was basically a killer of thousands annually. Good riddance"", ""Luigi is a hero for eliminating a vermin killer! He has a good chance of being acquitted since everyone knows someone who's been denied insurance and has suffered or died at the hands of insurance companies. Thompson was basically a killer of thousands. Good riddance. #FreeLuigi"", ""Luigi is a hero for eliminating this vermin killer! He has a good chance of being acquitted since everyone knows someone who's been denied health insurance coverage and has suffered at the hands of insurance companies. Thompson was basically a killer of thousands. Good riddance.""]"
5,78,5_unitedhealthcareceo_unitedhealthcareassassin_healthcare_ceoâ,"['unitedhealthcareceo', 'unitedhealthcareassassin', 'healthcare', 'ceoâ', 'insurance', 'health', 'hospitals', 'medical', 'profit', 'greed']","['LOL bruh I have United Healthcare and I had to pay a co-pay for over 2 years for a medication that literally keeps me alive. Without it, my immunocompromised system (that I was born with, mind you) will literally kill me.  made me pay for medication that keeps me alive.', ""Well #UnitedHealthcare is a big health insurance company and we all know how we feel about health insurances, especially those who don't want to pay for patient's medical needs....like surgery, especially when it is life saving."", 'You would think United Health Care would pay the $50,000 reward. But, they would just ""Deny, Delay and Defend"" #justsaying\n\nðŸ‘\x8f ðŸ‘\x8f ðŸ‘\x8f \n\n #crime #unitedhealthcare']"
6,72,6_deaths_killer_killers_killed,"['deaths', 'killer', 'killers', 'killed', 'died', 'murderous', 'death', 'policy', 'policies', 'kill']","['Brian Thompson had the blood of thousands of people just like this poor personâ€™s family on his hands. he was just as much a killer as the man who shot him, he did it from behind a desk without ever having to face the people whose lives he was ending.', 'Yes, Brian Thompson was a human being with a family.\n\nHe was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year.\n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? ðŸ¤”', 'Yes, Brian Thompson was a human being with a family. He was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year. \n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? ðŸ¤”']"
7,68,7_healthcare_insurance_deaths_death,"['healthcare', 'insurance', 'deaths', 'death', 'accountable', 'capitalism', 'killed', 'motherfucker', 'responsible', 'frankly']","['Mangione killed one person. Thompson is a mass murderer. Mangione is a criminal because itâ€™s against the law to kill people who kill by spreadsheet, but itâ€™s legal to kill by spreadsheet.', ""#DemsUnited #DemVoice1 \nFox is coming down hard on Luigi Mangione as the soulless murderer of Brian Thompson but made a hero out of Kyle Rittenhouse.\nMoral: don't kill a rich insurance executive but feel free to kill BLM protesters."", '""These parasites had it coming.""\n\nPolice Say Luigi Mangione, Suspected Killer of Insurance CEO, Had \'Ill Will Toward Corporate America\'\n\n""I do apologize for any strife or trauma, but it had to be done."" the Ivy League graduate reportedly wrote in a...\n1/2']"
8,67,8_deaths_murderer_killed_murderers,"['deaths', 'murderer', 'killed', 'murderers', 'death', 'die', 'thompsonâ', 'responsible', 'innocent', 'kill']","[""I didn't say that it wasn't a crime. But Brian Thompson was also being investigated for crimes. It could also be argued that he too, is a murderer who committed his actions through a corporate veil. \n\nSure, we have a legal system to deal with issues in society, but what areâ€¦"", 'Brian Thompson was a murderer.', 'Brian Thompson is a mass murderer and was put down like one.']"
9,67,9_healthcare_claims_care_died,"['healthcare', 'claims', 'care', 'died', 'profit', 'death', 'company', 'killer', 'wealth', 'kills']","['who cares man, brian thompson was responsible for so many deaths, denied so many people coverage, and used an ai with a 90% error rate to automatically deny people. i hope the assassin gets away with it', 'Brian Thompson was not a decent man.\nHe was an evil, greedy man who committed social murder. He got filthy rich by denying care to the sick. Thousands of people are homeless, hurt, and dead just so he can make more in a year than most Americans make in their lifetimes.', 'Brian Thompson was paid $9,000,000 every year 4 being a serial killer.\nWhat he and his company UnitedHealth does kills many many people & makes even more suffer. 4 greed.\nThat is truly despicable.\nI bet you think Charles Manson was just a fun guy & Hitler made trains run on time.']"
