Topic,Count,Name,Representation,Representative_Docs
0,40,0_danny_whyyyyy_mcflurry_stan,"['danny', 'whyyyyy', 'mcflurry', 'stan', 'ice', 'gofundme', 'crazy', 'bcz', 'dumped', 'fuck']","['Everyone rn: I want Luigi to tear apart my holes and die from bleeding\n\nFav oomf: here are my favorite bakes of the year! ❤️ up next dark chocolate shortbread cookies 🍪🍫🍫👩\u200d🍳', '𝙏𝙝𝙚𝙮 𝙠𝙣𝙤𝙬 𝙬𝙝𝙖𝙩 𝙠𝙞𝙣𝙙 𝙤𝙛 𝙖 𝙥𝙚𝙧𝙨𝙤𝙣 𝙩𝙝𝙚𝙞𝙧 𝙘𝙝𝙞𝙡𝙙 𝙖𝙣𝙮𝙬𝙖𝙮 𝙗𝙚𝙛𝙤𝙧𝙚 𝙞𝙩 𝙝𝙖𝙥𝙥𝙚𝙣. \n\nIn the bible, it is better to discipline your child. \nI believe time will heal, but Luigi is unwell if you observe him very carefully', 'Tone, did ya hear the Luigi kid came out of hiding because he wanted a McFlurry.? You almost can’t blame the dumb little bastard, ya never know when those ice cream machine’s are workin, Skip. Ya gotta strike when the iron’s hot hehe']"
1,36,1_murderer_murders_killed_kill,"['murderer', 'murders', 'killed', 'kill', 'innocent', 'cure', 'responsible', 'guy', 'fucking', 'cause']","[""Firstly, Luigi didn't do it, it was somebody else, and they nabbed him, because he looks *similar*\n\nSecondly, I refuse to feel bad for someone, who's actions led to almost 400 000 people being refused life-saving treatment due to his insurance denials."", 'We put people in Jail for driving accidents where they meant no harm but ran someone over by accident.\nMy comments in the end cause no real harm she is already dead.\nBut elsewhere people cheering on Luigi the assassin in huge numbers risk copycat murders.', 'Hypothesis, you now have killed your brother’s murderer, still feel angst and pain? \nIt teaches you that loss is loss. it won’t bring your brother back. Luigi killed a man cause of his back pain. no eye for eye, in fact unjust from Luigi’s side…']"
2,32,2_personality_acted_gun_stabbed,"['personality', 'acted', 'gun', 'stabbed', 'elliot', 'pissed', 'shill', 'caught', 'deluded', 'guns']","['So luigi travel across many states line is okay?\n\nKyle travel 15 minutes drive to neighborhood he grew up to defend it from looters\nHe shots in self defense to 3 rioters who chase after him trying to harm him.\n\nLuigi travel thousands of miles\nTo kill a guy\n\nDEM❤️criminals', 'Well Kyle acted in self defense while Luigi acted in premeditated murder.', ""that I don't take sides? I never have and I never will\n\nwhat luigi did was not self defense if it was then it would have been justified as the other self defense thing was""]"
3,32,3_mangioni_anymore_lunatic_scumbag,"['mangioni', 'anymore', 'lunatic', 'scumbag', 'markist', 'hes', 'player', 'reasoned', 'idolizing', 'worry']","['BREAKING: UPenn released a statement regarding Julia Alekseyava and her remarks calling Luigi Mangione an “icon.”\n\nAll she had to do was issue a retraction for the school to not hold her accountable. This lunatic should be removed from the classroom immediately.', 'Looking up the social media profiles of those glad about Luigi Mangione and the majority of them aren’t listing an employer\n\nTo the extent they are, they’re dishwashers & minimum wage people, or have a boyfriend/husband paying all their bills\n\nThey’re failures & waste of humanity', 'Idolizing Luigi Mangione is a sign of low IQ\n\nHe is a retard that supposedly shot a dude for being unable to have gay sex anymore due to his back condition.\n\nNot a hero, and accomplished nothing in the grand scheme of things. It changes nothing']"
4,28,4_killer_murdering_beheaded_deadly,"['killer', 'murdering', 'beheaded', 'deadly', 'justice', 'horrifying', 'experts', 'fate', 'taylor', 'deserve']","['BRIAN LEAVES BEHIND TWO BOYS AND HIS BELOVED WIFE. \n\nJUSTICE FOR BRIAN THOMPSON IS DUE.\nJUSTICE FOR BRIAN THOMPSON WILL COME.\nJUSTICE FOR BRIAN THOMPSON IS NEXT.', '🚨NEW PODCAST EPISODE OUT NOW🚨\n\n discuss the extraordinary response to the murder of US health insurance boss Brian Thompson. \n\nHow can anyone celebrate his cold-blooded killing? The Matts test their theory that everything before “but” is bullsh*t', ""I understand the anger at insurance companies. But I'm appalled by the glorification in some quarters of the murder of Brian Thompson. Yes, he was an insurance executive, but he was also a dad and certainly didn't deserve to be executed and have people jeer at his family's loss.""]"
5,26,5_murderer_ceos_mafia_innocent,"['murderer', 'ceos', 'mafia', 'innocent', 'coincidence', 'shooter', 'criminal', 'leftists', 'shooters', 'trial']","['🆘Shooter-No one will believe Luigi murdered, cowardly shot a man in the back because United didn’t care about his back ache.   a cocky ego like Obama & radicalized which led to careless actions for Obamacare issues for his mentor Obama-Luigi influencer', 'The defender of Luigi Machioni claims that her cliënt has no chance of getting a fair trial! But did Luigi Machioni that CEO Brian Thompson a fair chance? Absolutely not! Without any form of trial, without giving the CEO Thompson a chance to defend himself Luigi Machioni (see 2)', ""As cool as this picture is it also makes my blood boil. They don't even treat mass shooters like this. Dylann Roof got taken to fucking Burger King after killing 9 Black people, but Luigi pops one CEO and they act like he's the head of ISIS""]"
6,26,6_gov_detectives_phony_investigation,"['gov', 'detectives', 'phony', 'investigation', 'raised', 'meticulous', 'surprised', 'rotten', 'ppl', 'brendan']","['Mr mangione, dont be phony, the evidence mounts against you, enjoy your Time in prison. Enjoy the food and the great prison doctors, and if your good, you can work out for sixty whole minutes. #freedom is what I crave, not confinement and people telling me what and when to do it.', ""No proof Mangione did it, plenty of proof he's a rich Nazi\n\nNo proof the GFM raised supposedly in his name went to him, but his lawyer has repeatedly turned down funding offers. So $100k+ has gone to a very likely scam & almost none to ppl in real need bc y'all want heroes so bad"", 'Mangione was valedictorian of his 2016 high school graduating class at the Gilman School in Baltimore, where he played soccer, according to online sites. High school tuition at the all-boys school is nearly $40,000 a year.""\n\nOf course it\'s a Champagne socialist.']"
7,23,7_victims_ceos_kill_revenge,"['victims', 'ceos', 'kill', 'revenge', 'fuentes', 'arresting', 'officer', 'suspect', 'crime', 'rich']","['""who did nothing to him* is the most essential part here.\n\nThe protestors blocking a road effectively took a lot of people hostage, the old man simply liberated everyone (based and justified)\n\nLuigi Mangione shot a man in the back who was just walking there.\n(cringe and gay)', 'Fox News’ Jesse Watters on Luigi Mangione:""He’s way too soft. He’s going to get annihilated. Good! If he\'s not going to get the death penalty, maybe someone will do him justice behind bars."" Watters\' net worth $95 Million. Annual salary - $12 million. No arrest.', 'JESUS , I THOUGHT THIS LOUIGI BENADUCI CORLEONE....MANGIONE GUAVACELLI KID WAS SMART...THE ONLY GUYS HE DIDNT GIVE A PHOTO OPP TO WAS  KEEPIN THE GUNW THE SILENCER ..ITS 20 ALONE FOR THE SUPPRESOR THEN COMPLAININ BOUT A BAD BACK...I GOT A BAD BACK KID BAD .']"
8,23,8_hope_villain_guy_wrong,"['hope', 'villain', 'guy', 'wrong', 'really', 'true', 'retarded', 'instead', 'hit', 'consequences']","[""It's true: Luigi and you aren't even remotely similar. For example, you've probably never done anything good or cool in your life."", 'Luigi on weekend update then reacting with confused disdain when the crowd immediately started cheering… embarrassing he thought people would do anything else 🙄 🤔 🐒🐒🤳👁😭', 'Ngl this changes everything including class allegiance math. Given, Brian was just a cog in the machine and his death will have zero consequences in changing the system, Luigi is just the arsehole that yells at the fastfood waiter']"
9,22,9_crimes_arrested_killer_theunibrowmurder,"['crimes', 'arrested', 'killer', 'theunibrowmurder', 'perpetrator', 'rogan', 'vicious', 'guy', 'hero', 'report']","['Healthcare boss Brian Thompson’s killer may have fled New York, police say, via   \n\nUnless its blizzard snow. Im of the opinion people wearing hoodies covered up should be shot by default. As normally speaking their obviously up to no good.', 'Reminder:\n\nCorrupt Tyrannical Democrats would have listed Brian Thompsons death as Covid related in 2020, 2021, 2022 & 2023 to scam more taxpayer dollars.\n\nBrian Thompson, CEO of UnitedHealthcare was murdered in cold blood by Luigi Mangione aka The UniBrow #TheUniBrowMurder.', 'Person who deleted/erased CEO of UnitedHealthCare is illegal immigrant came from Latin Spanish countries like Venezuela 🇻🇪 travel from Atlanta, Georgia to New York City and left state of New York in United States Of America. This is migrant crime related.\n\n~ Baron Tremayne Caple']"
