Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Date,DateTime
Luigi Mangione did what Elphaba couldn’t do and killed the wizard! Free Luigi! 💚,7,7_luigimangione_villain_hero_corrupt,"['luigimangione', 'villain', 'hero', 'corrupt', 'lives', 'italian', 'murdering', 'man', 'corporate', 'story']","['That was one big performance by the NYPD and it backfired spectacularly. Their goal was to make Luigi Mangione look like a Batman villain. Instead it made him look like a folk hero who fought back against the system that puts profits over our own lives. You’re a joke mayor.', 'That was one big performance by the NYPD and it backfired spectacularly. Their goal was to make Luigi Mangione look like a Batman villain. Instead it made him look like a folk hero who fought back against the system that puts profits over our own lives', 'He took on the corrupt healthcare system is what he did, and in this house Luigi Mangione is an Italian American hero, end of story!']",luigimangione - villain - hero - corrupt - lives - italian - murdering - man - corporate - story,False,12/9/2024 21:55,12/9/2024 21:55
i have to wait three weeks for my insurance to kick in to get my root canal despite being in immense pain. can someone tell luigi mangione,3,3_luigimangione_said_ceos_uhc,"['luigimangione', 'said', 'ceos', 'uhc', 'assassin', 'corporate', 'unitedhealthcareassassin', 'case', 'unitedhealth', 'allegedly']","['Document ( Manifesto ) found on person of interest Luigi Mangione has two quotes: “These parasites had it coming"" ""It had to be done,""\nWritten words from Luigi Mangione who allegedly gunned down United Healthcare CEO Brian Thompson', 'The Mangione Manifesto: Parasites had it coming', 'Update: Luigi Mangione\'s manifesto included the quotes: \n“These parasites had it coming” and “I do apologize for any strife and trauma, but it had to be done""\n--Said shooter acted alone\n--""The document railed against the health care industry and suggested violence is the answer""']",luigimangione - said - ceos - uhc - assassin - corporate - unitedhealthcareassassin - case - unitedhealth - allegedly,False,12/9/2024 21:49,12/9/2024 21:49
Luigi Mangione or another vigilante hero should whack this motherfucker next,7,7_luigimangione_villain_hero_corrupt,"['luigimangione', 'villain', 'hero', 'corrupt', 'lives', 'italian', 'murdering', 'man', 'corporate', 'story']","['That was one big performance by the NYPD and it backfired spectacularly. Their goal was to make Luigi Mangione look like a Batman villain. Instead it made him look like a folk hero who fought back against the system that puts profits over our own lives. You’re a joke mayor.', 'That was one big performance by the NYPD and it backfired spectacularly. Their goal was to make Luigi Mangione look like a Batman villain. Instead it made him look like a folk hero who fought back against the system that puts profits over our own lives', 'He took on the corrupt healthcare system is what he did, and in this house Luigi Mangione is an Italian American hero, end of story!']",luigimangione - villain - hero - corrupt - lives - italian - murdering - man - corporate - story,False,12/9/2024 21:46,12/9/2024 21:46
"Luigi killed the UHC CEO because he denied people life saving healthcare, but ate at McDonalds because they have never denied anyone a Big Mac with fries.",0,0_insurance_hero_healthcare_ceos,"['insurance', 'hero', 'healthcare', 'ceos', 'killer', 'care', 'killed', 'poor', 'greed', 'medical']","['Maybe after what that Luigi guy did we can get a better healthcare system. I’ve been feeling sick for months and can’t see a doctor cause I have no insurance. The ironic part is that I work in the healthcare industry.', ""Luigi is a hero for eliminating this vermin killer! He has a good chance of being acquitted since everyone knows someone who's been denied health insurance coverage and has suffered at the hands of insurance companies. Thompson was basically a killer of thousands. Good riddance."", ""Rittenhouse isn't a POS but Luigi is a hero! He has a good chance of being acquitted since everyone knows someone who's been denied health insurance coverage and has suffered at the hands of insurance companies. Thompson was basically a killer of thousands annually. Good riddance""]",insurance - hero - healthcare - ceos - killer - care - killed - poor - greed - medical,False,12/9/2024 21:40,12/9/2024 21:40
"Obama is responsible for the state of healthcare. Obama handed these insurance companies the power to be in charge of our health instead of doctors. We need to get back to competitive isurance across state lines! 


Brian Thompson was…",6,6_brianthompson_executives_nypd_corporate,"['brianthompson', 'executives', 'nypd', 'corporate', 'bill', 'company', 'ceos', 'care', 'right', 'social']","['Taylor Lorenz defends United Healthcare CEO Brian Thompson’s murder in sickening post: ‘People wonder why we want these executives dead’', ""Taylor Lorenz slams health insurance industry, says it's no 'wonder why we want these executives dead' after UnitedHealthcare CEO murder"", 'Taylor Lorenz slams health insurance industry, says it\'s no ""wonder why we want these executives dead"" after UnitedHealthcare CEO murder']",brianthompson - executives - nypd - corporate - bill - company - ceos - care - right - social,False,12/9/2024 21:37,12/9/2024 21:37
"I shot that United Healthcare CEO, not Luigi",0,0_insurance_hero_healthcare_ceos,"['insurance', 'hero', 'healthcare', 'ceos', 'killer', 'care', 'killed', 'poor', 'greed', 'medical']","['Maybe after what that Luigi guy did we can get a better healthcare system. I’ve been feeling sick for months and can’t see a doctor cause I have no insurance. The ironic part is that I work in the healthcare industry.', ""Luigi is a hero for eliminating this vermin killer! He has a good chance of being acquitted since everyone knows someone who's been denied health insurance coverage and has suffered at the hands of insurance companies. Thompson was basically a killer of thousands. Good riddance."", ""Rittenhouse isn't a POS but Luigi is a hero! He has a good chance of being acquitted since everyone knows someone who's been denied health insurance coverage and has suffered at the hands of insurance companies. Thompson was basically a killer of thousands annually. Good riddance""]",insurance - hero - healthcare - ceos - killer - care - killed - poor - greed - medical,False,12/9/2024 21:35,12/9/2024 21:35
I’d like to give a special shout out to my homeboy Luigi Mangione. Keep up the good work baby 1 less we gotta worry about,7,7_luigimangione_villain_hero_corrupt,"['luigimangione', 'villain', 'hero', 'corrupt', 'lives', 'italian', 'murdering', 'man', 'corporate', 'story']","['That was one big performance by the NYPD and it backfired spectacularly. Their goal was to make Luigi Mangione look like a Batman villain. Instead it made him look like a folk hero who fought back against the system that puts profits over our own lives. You’re a joke mayor.', 'That was one big performance by the NYPD and it backfired spectacularly. Their goal was to make Luigi Mangione look like a Batman villain. Instead it made him look like a folk hero who fought back against the system that puts profits over our own lives', 'He took on the corrupt healthcare system is what he did, and in this house Luigi Mangione is an Italian American hero, end of story!']",luigimangione - villain - hero - corrupt - lives - italian - murdering - man - corporate - story,False,12/9/2024 21:34,12/9/2024 21:34
"If that bitch ass Penny can get off after killing a homeless man, Luigi mangione should be free for killing a real villain. 

Free him",7,7_luigimangione_villain_hero_corrupt,"['luigimangione', 'villain', 'hero', 'corrupt', 'lives', 'italian', 'murdering', 'man', 'corporate', 'story']","['That was one big performance by the NYPD and it backfired spectacularly. Their goal was to make Luigi Mangione look like a Batman villain. Instead it made him look like a folk hero who fought back against the system that puts profits over our own lives. You’re a joke mayor.', 'That was one big performance by the NYPD and it backfired spectacularly. Their goal was to make Luigi Mangione look like a Batman villain. Instead it made him look like a folk hero who fought back against the system that puts profits over our own lives', 'He took on the corrupt healthcare system is what he did, and in this house Luigi Mangione is an Italian American hero, end of story!']",luigimangione - villain - hero - corrupt - lives - italian - murdering - man - corporate - story,False,12/9/2024 21:30,12/9/2024 21:30
Brian Thompson was responsible for so many deaths. Jordan Neely? None. Yet you condemn one murderer and celebrate the other. Stop. Think. Why is that?,4,4_get_died_deserved_die,"['get', 'died', 'deserved', 'die', 'goes', 'killed', 'hero', 'man', 'got', 'put']","['Yes, Brian Thompson was a human being with a family.\n\nHe was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year.\n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? 🤔', 'Yes, Brian Thompson was a human being with a family. He was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year. \n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? 🤔', 'Brian Thompson had the blood of thousands of people just like this poor person’s family on his hands. he was just as much a killer as the man who shot him, he did it from behind a desk without ever having to face the people whose lives he was ending.']",get - died - deserved - die - goes - killed - hero - man - got - put,False,12/9/2024 21:26,12/9/2024 21:26
honestly need to fuck a guy named Luigi in his honor,5,5_mario_hero_said_guy,"['mario', 'hero', 'said', 'guy', 'instead', 'everyone', 'man', 'murderer', 'name', 'right']","[""And some people wonder why Luigi did what he did. IT'S BECAUSE OF SHIT LIKE THIS!!"", ""We don't care. He's a hero. Free Luigi"", 'FREE LUIGI. HE IS A HERO']",mario - hero - said - guy - instead - everyone - man - murderer - name - right,False,12/9/2024 21:25,12/9/2024 21:25
"Did anyone notice in his 𝕏 profile banner pic, there’s an image of an x-ray where pins had to be put in during a surgery? Did #UnitedHealthcare deny his claim/not pay what they were supposed to cover? 🤔",6,6_brianthompson_executives_nypd_corporate,"['brianthompson', 'executives', 'nypd', 'corporate', 'bill', 'company', 'ceos', 'care', 'right', 'social']","['Taylor Lorenz defends United Healthcare CEO Brian Thompson’s murder in sickening post: ‘People wonder why we want these executives dead’', ""Taylor Lorenz slams health insurance industry, says it's no 'wonder why we want these executives dead' after UnitedHealthcare CEO murder"", 'Taylor Lorenz slams health insurance industry, says it\'s no ""wonder why we want these executives dead"" after UnitedHealthcare CEO murder']",brianthompson - executives - nypd - corporate - bill - company - ceos - care - right - social,False,12/9/2024 21:24,12/9/2024 21:24
