Topic,Count,Name,Representation,Representative_Docs
0,36,0_unitedhealth_family_ceos_steven,"['unitedhealth', 'family', 'ceos', 'steven', 'died', 'brianthompsonassassination', 'members', 'millions', 'anyone', 'people']","[""I guess little fella didn't learn. He constantly demonizes CEOs. Brian Thompson CEO of United Healthcare was MURDERED yesterday in NYC. Instead of giving it a rest little fella doubles down on disparaging another CEO. Looks like litter fella won't stop until all CEOs are murdered"", 'Friday night Tequila Tweet:\n\n1. Fuck anyone cheering the killing of the UnitedHealthcare CEO.\n\n2. Fuck anyone this week who said transgender Americans should be “erased.”\n\n3. Fuck Syrian President Bashar al-Assad.\n\n4. Fuck anyone who says the men & women of the FBI are our enemy.', 'Someone sent me a TikTok with music (Dead or Alive-BonJovi) celebrating the United CEO’s death. I just feel it’s distasteful. Especially seeing the thousands limes. #TikTok #SocialMedia #UnitedHealthcare #unitedhealthcareceo #unitedhealthceo #ImEvilEdwin🇺🇸']"
1,33,1_luigimangione_murderer_martyr_hero,"['luigimangione', 'murderer', 'martyr', 'hero', 'mangioni', 'murdering', 'accused', 'chris', 'criminal', 'ted']","['Luigi Mangione’s attorney Karen Friedman Agnifilo says she’s concerned that Luigi won’t get a fair trial.\n\nThat’s rich. Luigi allegedly ex*c*ted CEO Brian Thompson, a husband and father, without any fair trial.\n\nLuigi made himself the judge, jury, and ex*c*tioner.', '“[Luigi Mangione] killed a man with a family, with kids. I have real condolences for the healthcare CEO. This is a real person…But sometimes drug dealers get shot.”\n\n— Chris Rock on the UnitedHealthcare CEO assassination', 'Chris Rock talks about Luigi Mangione during his SNL monologue\n\n“He actually k*lled a man with a family, with kids. I have real condolences for the Healthcare CEO. This is a real person… but sometimes drug dealers get shot”']"
2,32,2_justice_john_hero_mr,"['justice', 'john', 'hero', 'mr', 'goes', 'devastated', 'motive', 'news', 'prayers', 'giant']","[""Luigi Mangione’s family has released a statement:\n\n“We only know what we have read in the media. Our family is shocked and devastated by Luigi's arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.”"", 'NEW from Luigi Mangione\'s family:\n""We only know what we have read in the media. Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved. We are devastated by this news.""', ""Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved,' the family said.""]"
3,31,3_insurance_healthcare_assassinated_brianthompson,"['insurance', 'healthcare', 'assassinated', 'brianthompson', 'executive', 'fatally', 'trump', 'news', 'killed', 'tragic']","[""This is the first released image showing the smiling suspect in the tragic shooting of UnitedHealthcare CEO Brian Thompson. The esteemed leader and visionary tragically lost his life in New York City yesterday. The 50-year-old's untimely passing occurred outside the New York…"", 'Brian Thompson, CEO of UnitedHealthcare, was tragically shot and killed this morning outside of a hotel he was staying at in New York City, in what police believe was a targeted attack. Thompson was a father of two.\n\nSenseless gun violence is tearing families apart.\n\nOur hearts…', 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.']"
4,30,4_killer_sympathy_died_death,"['killer', 'sympathy', 'died', 'death', 'mourn', 'horrified', 'brutal', 'die', 'solidarity', 'everyone']","['She literally received threats at work today implying she belonged with Brian Thompson. I don’t care if you know me or not, celebrating anyone’s death is pure evil. If you do know me, disassociate if you have literally any argument in favor of celebrating the death of my mom.', 'Disturbing! How does this make anyone feel “joyful”?\n\nTaylor Lorenz is laughing over Brian Thompson’s death and says it brings her joy. Piers is having no part of it! Disgusting that anyone would feel this way!', 'There is absolutely no justification for anyone to feel JOY over the assassination of Brian Thompson. Taylor Lorenz should be ashamed of herself. She really needs a good rest to think about why she felt that feeling about someone who died, or to celebrate the assassination! ###']"
5,28,5_murderer_killed_kill_corpse,"['murderer', 'killed', 'kill', 'corpse', 'martyr', 'disrespectful', 'deserved', 'victim', 'disgusting', 'deserves']","['You don’t know how the law works clearly. No matter how bad someone is you cannot kill them unless they pose an immediate threat to u. Brian Thompson was simply walking minding his own business, therefore his murder is unjustified. Kyle rittenhouse was under an immediate threat', 'It’s irrelevant whether Brian Thompson was perfect example of “American dream “ model citizen OR crook under investigation for insider trading . He is a victim here ! He was killed cowardly , in cold blood ! Brian Thomson deserves Justice ! His murderer hunted and shoot him in…', 'Even a mentally ill subway performer who’s acting out armed with a muffin deserves to live. Brian Thompson deserved to live. The social standings of perpetrator and victim are irrelevant. \n\nBut to understand why Brian Thompson became a target, read this']"
6,27,6_murdering_psychopath_innocent_guilty,"['murdering', 'psychopath', 'innocent', 'guilty', 'guy', 'fuck', 'sociopaths', 'poor', 'deserves', 'story']","[""I was most interested in the contrasting life stories of Luigi and Brian. I'll try to find the post that laid it out, but basically Brian grew up in a working-class type family, putting in long, hard hours of work. It was a long journey to the top of UHC and there's no…"", 'I just said the dude is a piece of shit for murdering someone and 2 of my coworkers looked at me like I was crazy. I then doubled down and said the CEO isn’t responsible for any deaths and that Luigi is just a moron who shot a man in the back like a coward and they basically just…', 'Luigi grew up in privilege, was never even a customer of UHC, apparently did get treatment for his back.\n\nBrian Thompson grew up middle class and made his own way.\n\nLiberals are cheering on a coddled rich kid who murdered a good guy who worked for everything he had.']"
7,26,7_fraud_innocent_fellow_martyred,"['fraud', 'innocent', 'fellow', 'martyred', 'justice', 'exacted', 'traitor', 'financial', 'consequences', 'saddens']","[""He harmed someone who was innocent, though. Brian Thompson didn't do anything to him. Even if you want to pretend that whatever insurance difficulties he faced justifies what he did (it doesn't), none of it was Thompson's fault.\n\nNow, go be retarded somewhere else."", ""people are saying such awful things about brian thompson. don't say his shoes flew off like a cartoon character and his body ragdolled into the wall using video game physics and he did the wilhelm scream even though that probably happened. don't say that"", ""We are still looking forward for justice for $DOJA\n\nLet's not forget that our fellow human life also matter.\nIt saddens me to hear about $BRIAN\n\nCa: EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump\n\nLet's get justice for $BRIAN THOMPSON""]"
8,23,8_murderer_healthcare_happened_punished,"['murderer', 'healthcare', 'happened', 'punished', 'justify', 'insurance', 'reform', 'causing', 'insurer', 'americans']","['""the insurer used an AI algorithm to deny and override claims""\n\nBrian Thompson was not the insurer, he was a person. You linked a hit piece by a disreputable author. Brian was a good man and will be missed by those he helped. He pushed value-based care but only had so much power.', 'Democrats should celebrate justice for Brian Thompson, but the party that refuses to fix the broken health insurance system is instead reminding Americans why the party deserves to be loathed by every moral American. \n\n#UnitedHealthcare #BrianThompson', 'Brian Thompson did not create the U.S. healthcare system. He worked within it and did not deserve to die. \n\nHalf the country just voted for the party intent on taking away healthcare - including protections for the 100M Americans w/ preexisting conditions - along with SS and MC']"
9,23,9_condolences_sympathies_tragic_memorialized,"['condolences', 'sympathies', 'tragic', 'memorialized', 'unnecessary', 'unitedhealth', 'tribute', 'slain', 'foxnews', 'heartbreaking']","['The tragic news of the untimely passing of Brian Thompson, CEO of UnitedHealthcare is heartbreaking. Our thoughts and condolences are with Brian’s family and our partner, UnitedHealth Group during this challenging time.', 'UnitedHealth Group CEO Andrew Witty has issued an emotional tribute to Brian Thompson, the head of the group’s insurance arm, UnitedHealthcare, following Thompson’s death at the hands of a gunman.', 'In a message to the company’s nearly 400,000 employees, Andrew Witty, the CEO of UnitedHealth Group — UnitedHealthcare’s parent company — confirmed Thompson was laid to rest on Monday and that colleagues gathered in Minnesota on Tuesday for a memorial.']"
