Date,Title,Url,Account Type,Author,Full Name,Full Text,X Author ID,X Verified,DateTime,original_text,day,gpt-4.1-mini_stance,Topic
12/9/2024 16:01,I want everyone to know that this is #FAKENEWS! The man in this video is NOT #UnitedHealthcare's CEO Brian Thompson! ALL LIES! Presented by none other than Biden's corrupt DOJ & the corrupt Blackstone Group!!! He was fighting them both at the time of his murder!! NO COINCIDENCES!,http://twitter.com/hopeagainusa/statuses/1866151163806290025,individual,hopeagainusa,hopeagainusa (ConservativeHeartâ¤ï¸),I want everyone to know that this is #FAKENEWS! The man in this video is NOT #UnitedHealthcare's CEO Brian Thompson! ALL LIES! Presented by none other than Biden's corrupt DOJ & the corrupt Blackstone Group!!! He was fighting them both at the time of his murder!! NO COINCIDENCES!,1.84e+18,False,12/9/2024 16:01,I want everyone to know that this is #FAKENEWS! The man in this video is NOT #UnitedHealthcare's CEO Brian Thompson! ALL LIES! Presented by none other than Biden's corrupt DOJ & the corrupt Blackstone Group!!! He was fighting them both at the time of his murder!! NO COINCIDENCES!,12/9/2024,1,11
12/8/2024 22:56,"The assassination of UnitedHealthcare CEO Brian Thompson is a lot like the assassination of JFK in the sense that both men died as martyrs who fought tirelessly to better the lives of the American people, and the only ones left cheering were the Southern hicks and the commies.",http://twitter.com/Sheila_Katz1487/statuses/1865893239137710395,individual,Sheila_Katz1487,Sheila_Katz1487 (Dr. Sheila Katz),"The assassination of UnitedHealthcare CEO Brian Thompson is a lot like the assassination of JFK in the sense that both men died as martyrs who fought tirelessly to better the lives of the American people, and the only ones left cheering were the Southern hicks and the commies.",1.56e+18,True,12/8/2024 22:56,"The assassination of UnitedHealthcare CEO Brian Thompson is a lot like the assassination of JFK in the sense that both men died as martyrs who fought tirelessly to better the lives of the American people, and the only ones left cheering were the Southern hicks and the commies.",12/8/2024,1,11
12/8/2024 19:25,This is a fantastic portrait of deposed United Health CEO Brian Thompson. https://t.co/Nlv6R4Ywm4,http://twitter.com/W33Cleveland/statuses/1865840254605037721,individual,W33Cleveland,W33Cleveland (Ryan ðŸ–¤â¤ðŸŒ±ðŸðŸºâ¤ðŸ–¤),This is a fantastic portrait of deposed United Health CEO Brian Thompson. https://t.co/Nlv6R4Ywm4,1.27e+18,False,12/8/2024 19:25,This is a fantastic portrait of deposed United Health CEO Brian Thompson.,12/8/2024,1,11
12/8/2024 13:34,RT @Justine_Brooke Most people celebrating the murder of the UnitedHealthcare CEO are lazy couch bums and bored suburbanites trying to sound like an edgy vigilante.,http://twitter.com/Justine_Brooke/statuses/1865751700214075818,individual,Justine_Brooke,Justine_Brooke (Justine Brooke Murray),RT @Justine_Brooke Most people celebrating the murder of the UnitedHealthcare CEO are lazy couch bums and bored suburbanites trying to sound like an edgy vigilante.,921993698.0,True,12/8/2024 13:34,Most people celebrating the murder of the UnitedHealthcare CEO are lazy couch bums and bored suburbanites trying to sound like an edgy vigilante.,12/8/2024,1,8
12/8/2024 5:06,"UnitedHealthcare covers old really folks with various doctors they need even in their nineties! HUMANA too!
  https://t.co/DhW8WENQnd",http://twitter.com/Mhdude1Mhdude1/statuses/1865624087730524537,individual,Mhdude1Mhdude1,Mhdude1Mhdude1 (mhdude1),"UnitedHealthcare covers old really folks with various doctors they need even in their nineties! HUMANA too!
 https://t.co/DhW8WENQnd",4899465914.0,False,12/8/2024 5:06,UnitedHealthcare covers old really folks with various doctors they need even in their nineties! HUMANA too!,12/8/2024,1,1
12/8/2024 4:14,@ambercrollo Support the Brian Thompson universal healthcare act of 2025. Honor Brian as he would have wanted.,http://twitter.com/amaryaghagower/statuses/1865610835952889936,individual,amaryaghagower,amaryaghagower (nancy ferberger),@ambercrollo Support the Brian Thompson universal healthcare act of 2025. Honor Brian as he would have wanted.,1.35e+18,False,12/8/2024 4:14,Support the Brian Thompson universal healthcare act of 2025. Honor Brian as he would have wanted.,12/8/2024,1,4
12/7/2024 20:44,"@SouthernKeeks I agree. Iâ€™m getting a lot of hate for my opinion on this. But I stand by what I said. If you cheer on Brian Thompsonâ€™s killer, you are evil.",http://twitter.com/RenattaOxendine/statuses/1865497643289325691,individual,RenattaOxendine,RenattaOxendine (Renatta Michele Oxendine),"@SouthernKeeks I agree. Iâ€™m getting a lot of hate for my opinion on this. But I stand by what I said. If you cheer on Brian Thompsonâ€™s killer, you are evil.",174015773.0,True,12/7/2024 20:44,"I agree. Iâ€™m getting a lot of hate for my opinion on this. But I stand by what I said. If you cheer on Brian Thompsonâ€™s killer, you are evil.",12/7/2024,1,2
12/7/2024 11:50,"There are way too many people who are okay with the murder of Brian Thompson, the UnitedHealthcare CEO.",http://twitter.com/RBertWaters1975/statuses/1865363313833517546,individual,RBertWaters1975,RBertWaters1975 (R Bert Waters),"There are way too many people who are okay with the murder of Brian Thompson, the UnitedHealthcare CEO.",1.57e+18,True,12/7/2024 11:50,"There are way too many people who are okay with the murder of Brian Thompson, the UnitedHealthcare CEO.",12/7/2024,1,3
12/7/2024 11:42,"On Wednesday December 4th 2024, my uncle, Brian Thompson, a husband and father of two children, was brutally executed in the middle of Manhattan by a gunshot-wound to the heart from a vigilante-leftist who was upset about their insurance coverage. 

People online are not onlyâ€¦ https://t.co/18cd6I5N2Z",http://twitter.com/KarimAlZahid/statuses/1865361249795555766,individual,KarimAlZahid,KarimAlZahid (Karim al-Maliki),"On Wednesday December 4th 2024, my uncle, Brian Thompson, a husband and father of two children, was brutally executed in the middle of Manhattan by a gunshot-wound to the heart from a vigilante-leftist who was upset about their insurance coverage. 

People online are not onlyâ€¦ https://t.co/18cd6I5N2Z",8.7e+17,True,12/7/2024 11:42,"On Wednesday December 4th 2024, my uncle, Brian Thompson, a husband and father of two children, was brutally executed in the middle of Manhattan by a gunshot-wound to the heart from a vigilante-leftist who was upset about their insurance coverage. 

People online are not onlyâ€¦",12/7/2024,1,7
12/7/2024 7:19,"RT @_johnnymaga OMG. Former NYT â€œreporterâ€ Taylor Lorenz doubles down on gloating over the m*rder of the UnitedHealthcare CEO:

â€œAm I going to shed tears or have empathy for somebody who has facilitated the deaths of thousands of innocent Americans?"" 

What a psycho. https://t.co/5HmGxOIo4o",http://twitter.com/perchance99/statuses/1865295035782095244,individual,perchance99,perchance99 (AnnaV),"RT @_johnnymaga OMG. Former NYT â€œreporterâ€ Taylor Lorenz doubles down on gloating over the m*rder of the UnitedHealthcare CEO:

â€œAm I going to shed tears or have empathy for somebody who has facilitated the deaths of thousands of innocent Americans?"" 

What a psycho. https://t.co/5HmGxOIo4o",2580626647.0,True,12/7/2024 7:19,"OMG. Former NYT â€œreporterâ€ Taylor Lorenz doubles down on gloating over the m*rder of the UnitedHealthcare CEO:

â€œAm I going to shed tears or have empathy for somebody who has facilitated the deaths of thousands of innocent Americans?"" 

What a psycho.",12/7/2024,1,8
