Topic,Count,Name,Representation,Representative_Docs
0,132,0_hero_murderer_killer_killed,"['hero', 'murderer', 'killer', 'killed', 'case', 'killers', 'deserved', 'kill', 'moore', 'coward']","['Brian Thompson is a mass murderer and was put down like one.', 'Yes, Brian Thompson was a human being with a family. He was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year. \n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? ðŸ¤”', 'Yes, Brian Thompson was a human being with a family.\n\nHe was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year.\n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? ðŸ¤”']"
1,113,1_murderer_killer_killed_sad,"['murderer', 'killer', 'killed', 'sad', 'poor', 'acquitted', 'rich', 'gofundme', 'death', 'companies']","[""Rittenhouse isn't a POS but Luigi is a hero! He has a good chance of being acquitted since everyone knows someone who's been denied health insurance coverage and has suffered at the hands of insurance companies. Thompson was basically a killer of thousands annually. Good riddance"", ""Luigi is a hero for eliminating this vermin killer! He has a good chance of being acquitted since everyone knows someone who's been denied health insurance coverage and has suffered at the hands of insurance companies. Thompson was basically a killer of thousands. Good riddance."", ""Luigi is a hero for eliminating a vermin killer! He has a good chance of being acquitted since everyone knows someone who's been denied insurance and has suffered or died at the hands of insurance companies. Thompson was basically a killer of thousands. Good riddance. #FreeLuigi""]"
2,100,2_healthcare_ceos_luigiâ_health,"['healthcare', 'ceos', 'luigiâ', 'health', 'insurance', 'ceoâ', 'corporate', 'profit', 'ai', 'company']","[""Absolutely i said to my friends that its a pretty obvious anger response to how terrible the for profit healthcare system is and that if daniel penny can go free Luigi should go free and they freaked the fuck out I didn't even say my real position that the assassination is good"", 'yeah big bad ceo was not a good person n denied insurance claims for profit but chances are new ceo will be j as bad or worse? the solution is to reform the system not violence. imagine stanning someone who killed a man w two sons thats crazy to me. plus luigi is mid as hell imo.', ""Luigi targeted a health care insurance CEO who profited by dening people coverage based on an AI algorithm. And people die because of this. What do you call a rich CEO who profits on people's death. Americans. Dying every day...and u call Luigi the Terrorist.""]"
3,97,3_ceos_unitedhealthcareâ_millionaires_healthcare,"['ceos', 'unitedhealthcareâ', 'millionaires', 'healthcare', 'insurance', 'killer', 'ceoâ', 'hospitals', 'executive', 'brianthompson']","['Companies hiding their CEOs now instead of putting them front & center to remind customers/investors that â€œpeople matter more than profitsâ€\x9d shows us all we need to know about that companyâ€™s true business plan. #brianthompson #UnitedHealthcare #insurance #usa #corruption #news', 'So sorry to hear of this and thank you for sharing your story. \n\nDC is filled with people sympathetic to these vampires and with no regard for the thousands of people killed by health insurance companies & CEOs.\n\nThis is what a corporatist looks like and both parties have them:', 'UnitedHealthCare CEO was killed and Oligarchs are crying about it. Multitudes of people are dying due to being denied Health Insurance meanwhile Oligarchs are crying about one Health Insurance CEO dying. \n\nOligarchs kill us by denying and delaying Health Insurance but areâ€¦']"
4,97,4_murderer_killed_deaths_rich,"['murderer', 'killed', 'deaths', 'rich', 'corporate', 'kill', 'death', 'traitor', 'millions', 'lives']","['Very few school shooters have gotten the death penalty. Yet the U.S. is trying to charge Luigi Mangione so he gets the death penalty for killing one man. You can kill dozens of kids and get a lesser sentence because their lives donâ€™t matter as much as a CEOâ€™s. Thatâ€™s America.', ""The McDonalds Worker was an epic Class Traitor - the one who turned in virtuous Mr Mangione, the based killer of Healthcare Insurance CEO's/Corporate Swine/Parasites. We need to set up a GoFundMe page for Mr Mangione's Legal Defense Team Fund, IF he's charged with CEO's death."", ""Ted Bundy killed innocent women.\n\nLuigi Mangione killed a multi-millionaire CEO of United Health Care who made his $millions denying health care coverage; UHC's business practices kill far more people each year than every serial killer who ever lived combined. Not cheering, BUTâ€¦""]"
5,95,5_demise_thompsonâ_death_sympathy,"['demise', 'thompsonâ', 'death', 'sympathy', 'fraud', 'mourn', 'dead', 'happened', 'wasnâ', 'didnâ']","['And this weeks ""Flying Fickle Finger of Fate"" award goes to Brian Thompson.', 'And this weeks ""Flying Fickle Finger of Fate"" goes to...you guest it, Brian Thompson! Lets have a big round of applause for Brian, Folks!', 'I don\'t condone murder, but this weeks ""Flying Fickle Finger of Fate"" award goes to...you guessed it, Brian Thompson! Let\'s have a big round of applause for Brian, folks!']"
6,85,6_healthcare_murdering_killer_greed,"['healthcare', 'murdering', 'killer', 'greed', 'died', 'death', 'policies', 'die', 'profit', 'thompsonâ']","['Brian Thompson was paid $9,000,000 every year 4 being a serial killer.\nWhat he and his company UnitedHealth does kills many many people & makes even more suffer. 4 greed.\nThat is truly despicable.\nI bet you think Charles Manson was just a fun guy & Hitler made trains run on time.', '""Why are we asking random pundits why they would have empathy for [Brian Thompson] & their family, while there\'s no question being asked about who has empathy for the tens of thousands of Americans who are killed every year by the policies that Brian Thompson has made...tens ofâ€¦', '""Why are we asking random pundits [to] have empathy for [Brian Thompson] & their family, while there\'s no question being asked about who has empathy for the tens of thousands of Americans who are killed every year by the policies that Brian Thompson has made...tens of millions ofâ€¦']"
7,81,7_healthcare_medicareforall_insurance_medicare,"['healthcare', 'medicareforall', 'insurance', 'medicare', 'deaths', 'health', 'medical', 'care', 'patients', 'died']","['The biggest problem is for-profit health insurance and claim deniers like Brian Thompson who are killing thousands every year. You care about Thompson but not about those he killed.', ""Brian Thompson got rich at the helm of the company that denied more healthcare claims than most other major insurance providers, at a denial rate twice the industry average.\nI am not surprised that stuff like this happens. If anything, I'm surprised it doesn't happen more often."", 'You\'re insinuating the murder of Brian Thompson in NYC was justified? \n""Health insurance companies are responsible for the deaths of hundreds of thousands of Americans each each year and when denying claims and coverage for people who canâ€™t always afford health insurance costs.""']"
8,77,8_healthcare_insurance_unitedhealth_unitedheathcare,"['healthcare', 'insurance', 'unitedhealth', 'unitedheathcare', 'patients', 'claim', 'tragic', 'claims', 'killer', 'claimant']","['Deny defend depose\nDelay, dispose 90% of claims were denied by carefully manipulated AI algorithm sending Americans to their death for $50 billion profit of United healthcare CEO, Brian Thompson, New York City Wednesday, December 4 2024 intentional shooter under spotlight on cam', 'United HealthCare had the highest rate of claims denials for its members of any health insurance company in America and double the industry average.\n\nThey say that the reason Brian Thompson died was because they had to wait on prior authorization from UHC to get him admitted to aâ€¦', '#Deny #Defend #Depose\nThis is the MANTRA OF THE #insurance industry.\nThese words written on shell casings of bullets used by assassin executing #UnitedHealthcare CEO Brian #Thompson in #NYC \n-Deny the claim\n-Defend the claim\n-Depose the claimant']"
9,60,9_healthcareâ_healthcare_obamacare_insurance,"['healthcareâ', 'healthcare', 'obamacare', 'insurance', 'lawsuit', 'health', 'companies', 'claims', 'care', 'uhc']","['Just over a year before United Healthcare CEO Brian Thompson was murdered this week in Midtown Manhattan, a lawsuit filed against the insurance giant he helmed revealed just how draconian its claims-denying process had become.', 'ðŸš¨Murdered Insurance CEO Had Deployed an AI to Automatically Deny Benefits for Sick People: \n\nJust over a year before United Healthcare CEO Brian Thompson was murdered this week in Midtown Manhattan, a lawsuit filed against the insurance giant he helmed revealed just howâ€¦', 'ABC: â€œNYPD finds â€˜denyâ€™ â€˜defendâ€™ â€˜deposeâ€™ on shell casings where United Health CEO Brian Thompson was murderedâ€\x9d â€” seems to reference how insurance companiesðŸ‘‡ðŸ\x8f½deny people treatment. Especially United.']"
